Delivery,School,Total,Tip,Gender,PaymentMethod
A1,1,19.78,3,m,4
A2,1,18.5,2.5,m,2
A3,3,7.85,0.15,m,2
A4,1,7.99,1.21,f,1
A5,2,13.07,2.93,m,2
A6,2,13.07,1.93,f,2
A7,3,11.99,1.32,f,1
A8,3,8.42,1.08,f,1
A9,1,12.51,2.49,m,2
A10,1,22.89,2.48,m,1
A11,3,25.7,4.3,m,1
A12,3,11.48,1.5,m,1
A13,1,60.42,4,f,1
A14,1,14.84,0,f,1
A15,1,13.64,0,f,1
A16,1,16.84,2,f,1
A17,1,6.99,1.15,f,1
A18,3,11.19,3,m,1
A19,3,7.07,1,m,1
B1,3,22.49,5,m,3
B2,3,8.98,4,f,1
B3,3,11.99,3,m,3
B4,2,23.41,3.5,m,2
B5,2,30.5,5,f,1
B6,1,13.07,5,m,2
B7,2,23.42,6.58,m,2
B8,1,13.07,0,m,2
B9,1,14.7,0,M,1
B10,1,13.07,3,m,1
B11,1,23.49,20,m,1
B12,2,15.25,0,f,2
C1,1,14.75,3.25,.,2
C2,3,14.75,0,.,1
C3,3,22.27,3.67,f,1
C4,3,13.97,2.31,.,1
C5,2,17.42,2.5,.,2
C6,2,51.19,3.5,.,2
C7,2,9.78,3,.,1
C8,2,7.07,0,.,1
C9,2,14.49,2,.,1
C10,3,11.42,3.48,.,2
D1,2,18.52,9.48,m,2
D2,1,16.39,4,.,1
D3,1,35.97,7.12,.,1
D4,1,12.51,2.49,.,1
D5,3,26.48,4.37,.,1
D6,2,10.33,2,.,1
D7,2,11.42,2,.,1
D8,1,29.49,0.41,.,1
D9,2,11.79,2,.,1
D10,2,7.07,3,.,1
D11,2,21.43,2.57,f,2
D12,3,4.45,1,.,1
D13,3,13.46,2,m,1
E1,3,6.49,1.51,.,2
E2,3,12.47,2.07,.,1
E3,3,10.48,2,.,1
E4,2,38.82,4,m,1
E5,2,23.42,1.5,m,1
E6,2,7.07,1,f,1
E7,1,13.07,3,.,1
E8,1,6.49,0.71,.,1
F1,3,19.47,5,.,1
F2,3,18.96,3.11,.,1
F3,2,13.19,3,.,4
F4,1,25.58,5,.,1
F5,1,7.07,5.93,.,2
F6,3,53.47,6.53,.,1
F7,3,13.97,2.31,.,1
F8,1,49.03,3.97,.,2
F9,3,11.99,1.98,.,1
F10,1,26.14,4,f,3
F11,1,7.07,0,f,2
F12,3,13.07,1.93,m,1
F13,3,13.97,2.32,m,1
F14,2,6.49,2,m,4
F15,3,43.44,4.78,m,1
F16,1,10.12,0.63,f,2
G1,3,44.36,0.64,m,2
G2,3,11.99,1.98,m,1
G3,2,8.16,1,m,2
G4,2,13.99,3.01,m,2
G5,2,18.52,2,m,1
G6,2,7.07,1.93,f,2
G7,2,15.84,2,f,1
G8,1,13.07,1.93,m,2
G9,1,7.07,1,m,2
G10,2,8.71,2,m,1
G11,2,7.07,3.93,m,2
G12,2,18.52,0,f,4
