Isolate,EC50_Estimate,StdError,Lower,Upper
AR_262.S.1.6.A,0.20156791,0.02190114,0.15859664,0.24453918
AR127_S.2.3.A,0.71241336,0.120453871,0.476076089,0.94875064
ARS_284.S1.4.A,0.19122483,0.023561134,0.14499656,0.2374531
C-MNSO2_2-31,11.17160419,35.688339,-58.8509256,81.19413399
C-NDSO2_1-11,0.10040311,0.013038693,0.074820462,0.12598576
IASO_10_38.14rt,1.73685041,0.170040666,1.403221054,2.07047977
IASO_10-39.16rt,1.75966862,0.334000177,1.104341478,2.41499577
IASO_10.37.8,0.93213263,0.113542045,0.70935675,1.15490851
IASO_6-10.15h,1.08254635,0.095803277,0.894574924,1.27051777
ILSO_1-31,1.07347041,0.186243718,0.708049754,1.43889107
ILSO_3-48c,0.9496247,0.212690002,0.532314949,1.36693446
ILSO_5-42c,1.53880555,0.201522751,1.143406566,1.93420452
ILSO_6-15c,37.24950616,NA,NA,NA
ILSO_6-2b,0.98403996,0.079604805,0.82785085,1.14022907
INSO_1-10c,0.10814309,0.025293667,0.058515494,0.15777069
INSO_1-8A,1.52838284,0.140189679,1.253322794,1.80344288
KSSO_6-1,1.64675465,0.171873218,1.309529727,1.98397958
KSSO_6-47,0.03209247,0.009384461,0.01367963,0.05050531
MISO_1-4,0.6047453,0.041594347,0.523134849,0.68635575
MISO_5-19h,1.19072836,0.120776492,0.953758082,1.42769863
MISO_8-10,1.34920988,0.11472108,1.124120668,1.5742991
MISO_8-29.1,4.20950424,NA,NA,NA
NDSO_1-42,0.50599667,0.051045237,0.405843042,0.6061503
NDSO_L-8-6,1.80161598,9.94798952,-17.71689937,21.32013133
NESO_2-13,0.30622779,0.037961074,0.231746027,0.38070955
NESO_4-29,0.1200877,0.013153072,0.094280636,0.14589477
V-KSSO2_1-7,0.01596815,0.004673693,0.006798106,0.0251382
V-KSSO2_3-6,0.0302482,0.010660701,0.009331303,0.05116509
V-MISO2_2-57,0.07347248,0.012953944,0.048056109,0.09888884
WISO_4-13,1.74039087,0.159531736,1.427380625,2.05340112
