SampleID,Crop,Objective,Collection,Compartment,DateSampled,GrowthStage,Treatment,Rep,Sample,Fungicide,Target_organism,Location,Experiment,Year,richness
Corn2017LeafObjective2Collection1T1R1CAH2,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,A,C,Fungi,Kellogg Biological Station,LTER,2017,9
Corn2017LeafObjective2Collection1T1R1CBA3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,B,C,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T1R1CCB3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,C,C,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection1T1R1FAC3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,A,F,Fungi,Kellogg Biological Station,LTER,2017,7
Corn2017LeafObjective2Collection1T1R1FBD3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,B,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R1FCE3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R1,C,F,Fungi,Kellogg Biological Station,LTER,2017,2
Corn2017LeafObjective2Collection1T1R2CAF3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,A,C,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection1T1R2CBG3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,B,C,Fungi,Kellogg Biological Station,LTER,2017,8
Corn2017LeafObjective2Collection1T1R2CCH3,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,C,C,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R2FAA4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,A,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R2FBB4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,B,F,Fungi,Kellogg Biological Station,LTER,2017,3
Corn2017LeafObjective2Collection1T1R2FCC4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R2,C,F,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection1T1R5CAD4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,A,C,Fungi,Kellogg Biological Station,LTER,2017,5
Corn2017LeafObjective2Collection1T1R5CBE4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,B,C,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R5CCF4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,C,C,Fungi,Kellogg Biological Station,LTER,2017,10
Corn2017LeafObjective2Collection1T1R5FAG4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,A,F,Fungi,Kellogg Biological Station,LTER,2017,4
Corn2017LeafObjective2Collection1T1R5FBH4,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,B,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T1R5FCA5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R5,C,F,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T1R6CAB5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,A,C,Fungi,Kellogg Biological Station,LTER,2017,2
Corn2017LeafObjective2Collection1T1R6CBC5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,B,C,Fungi,Kellogg Biological Station,LTER,2017,1
Corn2017LeafObjective2Collection1T1R6CCD5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,C,C,Fungi,Kellogg Biological Station,LTER,2017,6
Corn2017LeafObjective2Collection1T1R6FAE5,Corn,Objective 2,1,Leaf,6/26/17,V6,Conv.,R6,A,F,Fungi,Kellogg Biological Station,LTER,2017,1
