is,location,trial,set,batch,lat,conc,rep,measure,coldiam,coldiamplug,relgrowth
ILSO_5-41c,Illinois,1,1,2,39.066956,0,1,1,71.49,67.79,1.01603717
ILSO_5-41c,Illinois,1,1,2,39.066956,0,1,2,70.01,66.31,0.993854916
ILSO_5-41c,Illinois,1,1,2,39.066956,0,2,1,72.86,69.16,1.036570743
ILSO_5-41c,Illinois,1,1,2,39.066956,0,2,2,70.53,66.83,1.001648681
ILSO_5-41c,Illinois,1,1,2,39.066956,0,3,1,68.54,64.84,0.971822542
ILSO_5-41c,Illinois,1,1,2,39.066956,0,3,2,69.09,65.39,0.980065947
ILSO_5-41c,Illinois,1,1,2,39.066956,0.01,1,1,65.42,61.72,0.925059952
ILSO_5-41c,Illinois,1,1,2,39.066956,0.01,1,2,64.31,60.61,0.908423261
ILSO_5-41c,Illinois,1,1,2,39.066956,0.01,2,1,65.29,61.59,0.923111511
ILSO_5-41c,Illinois,1,1,2,39.066956,0.01,2,2,65.67,61.97,0.928806954
ILSO_5-41c,Illinois,1,1,2,39.066956,0.01,3,1,65.77,62.07,0.930305755
ILSO_5-41c,Illinois,1,1,2,39.066956,0.01,3,2,64.74,61.04,0.914868106
ILSO_5-41c,Illinois,1,1,2,39.066956,0.05,1,1,51.48,47.78,0.716127098
ILSO_5-41c,Illinois,1,1,2,39.066956,0.05,1,2,51.61,47.91,0.71807554
ILSO_5-41c,Illinois,1,1,2,39.066956,0.05,2,1,51.27,47.57,0.712979616
ILSO_5-41c,Illinois,1,1,2,39.066956,0.05,2,2,51.94,48.24,0.723021583
ILSO_5-41c,Illinois,1,1,2,39.066956,0.05,3,1,53.73,50.03,0.74985012
ILSO_5-41c,Illinois,1,1,2,39.066956,0.05,3,2,53.42,49.72,0.745203837
ILSO_5-41c,Illinois,1,1,2,39.066956,0.1,1,1,43.86,40.16,0.601918465
ILSO_5-41c,Illinois,1,1,2,39.066956,0.1,1,2,43.72,40.02,0.599820144
ILSO_5-41c,Illinois,1,1,2,39.066956,0.1,2,1,42.8,39.1,0.586031175
ILSO_5-41c,Illinois,1,1,2,39.066956,0.1,2,2,42.94,39.24,0.588129496
ILSO_5-41c,Illinois,1,1,2,39.066956,0.1,3,1,43.42,39.72,0.595323741
ILSO_5-41c,Illinois,1,1,2,39.066956,0.1,3,2,43.71,40.01,0.599670264
ILSO_5-41c,Illinois,1,1,2,39.066956,0.5,1,1,24.62,20.92,0.313549161
ILSO_5-41c,Illinois,1,1,2,39.066956,0.5,1,2,24.11,20.41,0.305905276
ILSO_5-41c,Illinois,1,1,2,39.066956,0.5,2,1,22.11,18.41,0.275929257
ILSO_5-41c,Illinois,1,1,2,39.066956,0.5,2,2,22.66,18.96,0.284172662
ILSO_5-41c,Illinois,1,1,2,39.066956,0.5,3,1,22.94,19.24,0.288369305
ILSO_5-41c,Illinois,1,1,2,39.066956,0.5,3,2,22.5,18.8,0.28177458
